txid,vin,network,scriptHex,controlBlockHex,expected,blockHeight,source
f671b4afcb1d99d3e6949e3a99db033db20199c3cb81427ceda6a080e1cb2f8e,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
7f67d23700b2f726bd8cf230f3a4bd59d1ef2d04ce51b61ecc0ec9147f63217f,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
13d6ff6ad2d3afcb7193bfaf8098477f40d6b1ac2cf027fa969c388293b9c867,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
381ee943f84e90c7d4e32c14d2af75f3d236b5249fd8ef70ae720158f6959865,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
04092723bae7b9d41a824a3f61bf2cc49b7c27f0a64a8b07a09d57b3728aff5d,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
4951dc66275823cc13910e437119b9189bb12ff1b11f010d5a3b08b3fd83d0c5,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06df7f05dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1puje5r5g2ajqcy88aaxwj36d0rn3gjhhdx8m6nv25mhuq278mwrqqwgdktp,787999,public-sample-v0.1.0
ba914777a89ad2445b86914074ff26aceddd7c3dcf43e4967dcbcfc3084e4fc7,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06637c02dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a2270657065222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p2sf7xpaekyuggeg34qtkmmgru06yccrrtrn54qarxuy3hqnte6qq8nlq9r,787999,public-sample-v0.1.0
577615e7cfef3b66371c33b2b7418d9a2c2566528c49c2db7f059951d7e08475,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06f8a602dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a22777a7264222c22616d74223a2235303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p3796zjwa3gv0p0e3hnnzv8le0a3j9zy5lpuezz855n3k47h2qzgsv8ae53,787999,public-sample-v0.1.0
f4574850dbc05daf4417eb3633fc07b0400ce9e08beae7a2cf150715087e6b63,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0645ce01dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a2270657065222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pgj3qgkxtvjt4j9pddd6jdgjdsd9jewy8ynsxwwxhzw7aqm69xldqs9un8e,787999,public-sample-v0.1.0
4044d6ec3fac96fbd8ef25fba23a96f10bfdc0d1d77a898fed95606a879dc041,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06ac3902dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d38003a7b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a22777a7264222c22616d74223a223130303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p4vasnekf2x8y3hjvqe8udftrm2de8rpfgt4spc3m79g7ye6jy38s2zxd00,787999,public-sample-v0.1.0
4aca5ad6f32f9197c29239fd786d209aa52ad0f7bbeb903b7a3de306bf6703dd,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac061af303dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a2270657065222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pky422fdlx5kpavqlljnckjvwy803dn54gjv4lhdheuwskzxjpz0q6n389j,787999,public-sample-v0.1.0
158c27aae6ecfecd7a6029c1f9271e7af76a53e1c0e063168724da942639dfb2,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06dc9103dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a2270657065222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1panngnqrs0k0kc7gs3qnkkgqfdc9kfhqpqsnfdxc7wpcfx2vu2vvsv7p7xy,787999,public-sample-v0.1.0
c7d8aa82c614fa6fea6a43bbc22409b1605ef3bc0d98770ed3977210b9ddba0a,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06c9c803dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a22777a7264222c22616d74223a2235303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p7206c3a86f6wuccx7kj8ecj9py29um95vrug8zwlxaz6e5vjldxqgpahfe,787999,public-sample-v0.1.0
5f0cf00a8d857529a90eb7763d3a76dfd895462dc542d0c89ae6f6f97b794983,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06005004dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800397b2270223a226272632d3230222c226f70223a227472616e73666572222c227469636b223a2278696e67222c22616d74223a2235303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1plmd4a7lug4kccur5ergeg06yeh3ne7apj4k7nntu2wuefmja9v7qag5t6h,787999,public-sample-v0.1.0
448274d5f50042febe43cef1cb0e2501bf2d736565b55db9a50da2e7d97079fe,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06c92e53de8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a2276646278222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p6xkzw82kv53gjmc68sudwzz6nxh98fwt6c9va6s9cctf7gfu95aq8vh5vp,787999,public-sample-v0.1.0
29242c0a4aba6c6cf6ca4d44e7a04b0ccb9667778face562604048383a8de4fd,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06bdc3fcdc8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pu0cphdh7r6thqyjl3qqm0a6grdxah6lsd6qddhayw0pr4ahlhltqde6q5j,787999,public-sample-v0.1.0
f559fcb1a1cf8cdc7b928219880b68edbba9bd54a4340f1110b06210d42b58fd,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac066b20f6dc8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1p8ndnx8vkq2t8x9azvu3qmp8n6krayuf9j9ln9d53agggungqrx4s3ndel6,787999,public-sample-v0.1.0
5099482abb632ed6113553b3ce642d490a2278517bcc74fbcc48e234565f92fc,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06f2a50cdd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c1117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pegsrvknfj5acltaweaf7ehu05v3nqg4sngzfwrumq9835pdgu4zq7ga8qq,787999,public-sample-v0.1.0
d151bd6dbc0965582fa57c4418bf348f5039b6a423fdbde28f66ca70c20788fc,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac0668210cdd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pstarcmvpxpw0wdcvtk9pvfuycguuzl2rdfn8huamsvg9wtnlhkuq7s40pt,787999,public-sample-v0.1.0
f44b0f13143b3555ab98bf2dd1a2dec8a5e2a36ea5504fa479950448e23c5efc,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac06bdc3fcdc8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pu0cphdh7r6thqyjl3qqm0a6grdxah6lsd6qddhayw0pr4ahlhltqde6q5j,787999,public-sample-v0.1.0
1db6e36eefb33dadda262a5c23456d122d087cb319beac423176cfaaa2103afc,0,mainnet,20117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423eac066b4211dd8701750063036f7264010118746578742f706c61696e3b636861727365743d7574662d3800357b2270223a226272632d3230222c226f70223a226d696e74222c227469636b223a22676d676e222c22616d74223a2231303030227d68,c0117f692257b2331233b5705ce9c682be8719ff1b2b64cbca290bd6faeb54423e,bc1pkfqw65dmnq48ju9sqslyct0a6g9y32nr2aqt2pedadt3rqxec5wqsajv8k,787999,public-sample-v0.1.0
